常州|320400
甘孜|513300
白城|220800
苏州|320500
南充|511300
桂林|450300
濮阳|410900
漯河|411100
郑州|410100
南京|320100
昆明|530100
许昌|411000
汕头|440500
澄迈|469027
茂名|440900
雅安|511800
海西|632800
上海|310000
吕梁|141100
合肥|340100
宣城|341800
鹰潭|360600
延边|222400
达州|511700
广元|510800
辽源|220400
九江|360400
亳州|341600
通化|220500
东莞|441900
临沂|371300
汕尾|441500
湘西|433100
六盘水|520200
绍兴|330600
临沧|530900
十堰|420300
广州|440100
金华|330700
庆阳|621000
保山|530500
淄博|370300
鄂州|420700
宜春|360900
安阳|410500
长乐|350182
滁州|341100
随州|421300
安顺|520400
莆田|350300
潍坊|370700
厦门|350200
永州|431100
信阳|411500
淮安|320800
宁波|330200
绵阳|510700
南平|350700
盐城|320900
陇南|621200
自贡|510300
温州|330300
长沙|430100
佛山|440600
包头|150200
上饶|361100
河池|451200
呼和浩特|150100
柳州|450200
乌海|150300
梧州|450400
赤峰|150400
益阳|430900
大庆|230600
玉林|450900
珠海市|440400
普洱|531000
商洛|611000
伊春|230700
绥化|231200
资阳|512000
巴彦淖尔|150800
湛江|440800
池州|341700
邵阳|430500
沈阳|210100
新余|360500
铜仁|522200
呼伦贝尔|150700
清远|441800
迪庆|533400
通辽|150500
舟山|330900
遂宁|510900
鄂尔多斯|150600
衢州|330800
吉安|360800
黔南|522700
阜新|210900
河源|441600
渭南|610500
百色|451000
吉林|220200
营口|210800
廊坊|131000
青岛|370200
四平|220300
黔东南|522600
临汾|141000
贵阳|520100
凯里|522601
玉溪|530400
潮州|445100
衡水|131100
韶关|440200
中山|442000
云浮|445300
芜湖|340200
肇庆|441200
梅州|441400
蚌埠|340300
枣庄|370400
淮北|340600
铜陵|340700
鸡西|230300
济宁|370800
毕节|522400
漳州|350600
齐齐哈尔|230200
邯郸|130400
抚顺|210400
龙岩|350800
烟台|370600
南昌|360100
恩施|422800
本溪|210500
遵义|520300
大同|140200
北京|110000
咸阳|610400
张家口|130700
朝阳|211300
阳泉|140300
固原|640400
北海|450500
辽阳|211000
株洲|430200
中卫市|640500
长治|140400
葫芦岛|211400
承德|130800
宝鸡|610300
张家界|430800
铁岭|211200
嘉峪关|620200
晋城|140500
兴义|522301
三明|350400
唐山|130200
江门|440700
邢台|130500
岳阳|430600
宜宾|511500
泰安|370900
西安|610100
保定|130600
广安|511600
安庆|340800
铜川|610200
衡阳|430400
兰州|620100
朔州|140600
泉州|350500
盘锦|211100
吴忠|640300
黄冈|421100
荆门|420800
巴中|511900
开封|410200
徐州|320300
新乡|410700
榆林|610800
威海|371000
揭阳|445200
沧州|130900
曲靖|530300
无锡|320200
石嘴山|640200
锡林郭勒|152500
安康|610900
汉中|610700
济南|370100
南宁|450100
松原|220700
莱芜|371200
贺州|451100
阳江|441700
武汉|420100
白山|220600
西宁|630100
延安|610600
太原|140100
湖州|330500
嘉兴|330400
济源|410881
宁德|350900
丽水|331100
宿州|341300
杭州|330100
赣州|360700
酒泉|620900
洛阳|410300
拉萨|540100
娄底|431300
平凉|620800
三亚|460200
贵港|450800
天水|620500
佳木斯|230800
深圳|440300
东营|370500
惠州|441300
福州|350100
白银|620400
宜昌|420500
连云港|320700
扬州|321000
乐山|511100
南阳|411300
运城|140800
防城港|450600
武威|620600
抚州|361000
晋中|140700
内江|511000
驻马店|411700
张掖市|620700
宿迁|321300
泸州|510500
潜江|429005
丽江|530700
南通|320600
仙桃|429004
湘潭|430300
石家庄|130100
成都|510100
常德|430700
镇江|321100
秦皇岛|130300
阿坝|513200
牡丹江|231000
鹤壁|410600
菏泽|371700
孝感|420900
咸宁|421200
台州|331000
滨州|371600
六安|341500
聊城|371500
德州|371400
凉山|513400
日照|371100
焦作|410800
荆州|421000
天津|120000
锦州|210700
儋州|469003
萍乡|360300
红河|532500
定西|621100
琼海|469002
怀化|431200
银川|640100
平顶山|410400
景德镇|360200
商丘|411400
丹东|210600
郴州|431000
鞍山|210300
阜阳|341200
马鞍山|340500
哈尔滨|230100
德宏|533100
淮南|340400
黄石|420200
大连|210200
黄山|341000
甘南|623000
鹤岗|230400
德阳|510600
襄阳|420607
周口|411600
文山|532600
重庆|500000
楚雄|532300
泰州|321200
长春|220100
三门峡|411200
双鸭山|230500
眉山|511400
大理|532900
西双版纳|532800
攀枝花|510400
海口|460100
